정렬순위,원본구분,원본No,업체명/사이트명,도메인,홈페이지URL,원본출처URL,확인한_매물페이지URL,매물수_추정,매물수_산정근거,응답방식,응답방식_근거,HTTP상태,Content-Type,페이지제목,매물페이지여부,페이지네이션_최대,첫페이지_노출매물수,크롤링_필요정보/전략,요청시도URL,원본_공식성등급,원본_사업품목,원본_대표전화,원본_검토메모,자동확인일
11,원본CSV,102,거산중장비매매단지,4396200.com,http://gs1144.com,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=6&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,http://gs1144.com [500] || https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=6&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,각종 중장비 고가매입/매매,,4396200 검색결과에서 주소/전화/팩스/홈페이지 유사 표기 확인.,2026-04-29
12,원본CSV,94,고려종합건기,4396200.com,https://blog.naver.com/alsrb1987,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=9&search= ; https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=8&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://blog.naver.com/alsrb1987 [200] || https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=9&search= [200] || https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=8&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,중고굴삭기 매매 전문,,출처별 팩스번호가 달라 병기. 담당자명은 검색결과 스니펫 기준.,2026-04-29
13,원본CSV,90,구보다현대건설장비,4396200.com,http://hdcm.kr,https://www.4396200.com/sub6_1.html?cate_cd=2,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,http://hdcm.kr [200] || https://www.4396200.com/sub6_1.html?cate_cd=2 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,"구보다 강원총판, 현대건설기계 정비, 중고매매허가업체",,중고매매허가업체 문구가 확인되어 후보 포함.,2026-04-29
14,원본CSV,58,그린중기(주),4396200.com,http://www.4396200.com,https://www.4396200.com/ ; https://www.4396200.com/sub6_1.html?cate_cd=2,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,http://www.4396200.com [200] || https://www.4396200.com/ [200] || https://www.4396200.com/sub6_1.html?cate_cd=2 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],A-/B,덤프트럭/지게차/굴삭기 등 중장비 매매,02-439-6200,"자사/포털 운영사 성격이 섞여 있어 영업대상 검토 필요. 대표자·사업자번호는 공식 하단, 휴대폰·이메일은 VIP/검색결과 기반.",2026-04-29
15,원본CSV,69,동중중기매매상사,4396200.com,http://www.liftplaza.com,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=6&search= ; https://cookiedeal.io/company-search/6200325034/동중중기매매상사,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,http://www.liftplaza.com [200] || https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=6&search= [200] || https://cookiedeal.io/company-search/6200325034/동중중기매매상사 [403] || http://www.liftplaza.com/board/view.php?table=hotsell&no=3432 [200] || http://www.liftplaza.com/board/view.php?table=hotsell&no=3434 [200] || http://www.liftplaza.com/board/view.php?table=hotsell&no=3433 [200] || http://www.liftplaza.com/board/view.php?table=hotsell&no=3430 [200] || http://www.liftplaza.com/board/view.php?table=hotsell&no=3423 [200] || http://www.liftplaza.com/board/view.php?table=hotbuy&no=1318 [200] || http://www.liftplaza.com/board/view.php?table=hotbuy&no=16 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200],C+,중기/지게차 매매,052-257-1868,기업정보 디렉터리에는 삼산동/052-257-1817로도 표기되어 출처 간 주소·전화 차이 검토 필요.,2026-04-29
16,원본CSV,93,명성건설기계매매상사,4396200.com,,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=2&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=2&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,건설기계 매매,,4396200 검색결과에서 전화/주소/팩스 확인.,2026-04-29
17,원본CSV,48,비젼코리아 건설기계 매매상사,4396200.com,http://cafe.daum.net/excavatorpost,https://kcmta.kr/2018_new/www/bbs/board.php?bo_table=board01&wr_id=104 ; https://www.4396200.com/sub6_1.html?cate_cd=2,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,http://cafe.daum.net/excavatorpost [200] || https://kcmta.kr/2018_new/www/bbs/board.php?bo_table=board01&wr_id=104 [200] || https://www.4396200.com/sub6_1.html?cate_cd=2 [200] || http://kcmta.kr/2018_new/www/bbs/board.php?bo_table=board03&me_code=3020 [200] || http://kcmta.kr/2018_new/www/bbs/board.php?bo_table=board01&me_code=3040 [200] || http://kcmta.kr/2018_new/www/bbs/board.php?bo_table=file&me_code=3050 [200] || http://kcmta.kr/2018_new/www/bbs/board.php?bo_table=board02 [200] || http://kcmta.kr/2018_new/www/bbs/board.php?bo_table=news&me_code=3030 [200] || http://kcmta.kr/2018_new/www/bbs/board.php?bo_table=unlawful&me_code=5020 [200] || http://kcmta.kr/2018_new/www/bbs/board.php?bo_table=photo&me_code=5030 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200],B,건설장비/중고굴삭기 매매,054-954-9955,"KCMTA, 태양중장비 회원/상품 페이지, 4396200에 업체명·연락처가 병행 표기됨. 담당자 표기는 출처별 상이.",2026-04-29
18,원본CSV,100,서해지게차,4396200.com,,https://4396200.com/sub6_1.html?cate_cd=1&find=&page=2&search=,https://4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://4396200.com/sub6_1.html?cate_cd=1&find=&page=2&search= [200] || https://4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,지게차 매매 및 임대/렌탈,,상호명 직접키워드는 아니지만 지게차 매매/임대 문구 확인.,2026-04-29
19,원본CSV,105,선진중기,4396200.com,https://cafe.naver.com/,https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search= ; https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=10&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://cafe.naver.com/ [200] || https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search= [200] || https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=10&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,로더 전문 매매,,출처별 상세 주소 표기가 일부 달라 최신 주소 확인 필요.,2026-04-29
20,원본CSV,89,수성건설기계,4396200.com,http://www.susung10.com/,https://www.4396200.com/sub6_1.html?cate_cd=2,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,http://www.susung10.com/ [ConnectionError: HTTPConnectionPool(host='www.susu] || https://www.4396200.com/sub6_1.html?cate_cd=2 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,중고굴삭기 구매/판매,,4396200 목록에서 홈페이지/연락처/주소 확인.,2026-04-29
21,원본CSV,101,양산종합건기,4396200.com,,https://www.4396200.com/sub6_1.html?cate_cd=1&find=&page=2&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://www.4396200.com/sub6_1.html?cate_cd=1&find=&page=2&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,건설기계/중장비 매매·임대 후보,055-381-4422,4396200 검색결과에서 홈페이지 필드에 이메일로 보이는 값이 표기됨. 오탈자/유효성 확인 필요.,2026-04-29
22,원본CSV,106,에스엘건기 중고굴삭기매매,4396200.com,http://www.sl8949.com,https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,http://www.sl8949.com [ConnectionError: HTTPConnectionPool(host='www.sl89] || https://www.4396200.com/sub6_1.html?cate_cd=2&find=&page=7&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,중고굴삭기 매매/수출/임대/폐차,,4396200 검색결과에서 홈페이지/연락처/주소 확인.,2026-04-29
23,원본CSV,115,오라중기매매상사,4396200.com,https://ora9919.blog.me,https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=10&search=,https://www.4396200.com/sub8_1_s.html?cate_code=100100,7700,"페이지네이션 추정: page_max=110, first_page_visible=70",HTML 응답,초기 HTML 본문에서 확인,200,text/html; charset=utf-8,:: 그린중기 ::,Y,110,70,query_params=cate_code=100100 | requests+BeautifulSoup 가능,https://ora9919.blog.me [ConnectTimeout: HTTPSConnectionPool(host='ora9919.] || https://www.4396200.com/sub6_1.html?cate_cd=&find=&page=10&search= [200] || https://www.4396200.com/sub8_1_s.html?cate_code=110100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100100 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100101 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100102 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100103 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100104 [200] || https://www.4396200.com/sub8_1_s.html?cate_code=100105 [200],B-,건설기계/중장비 매매 후보,031-655-1125,4396200 검색결과에서 주소/전화/팩스/블로그 확인.,2026-04-29
